LAMB|LAMBRETTA
LAMO|LAMBORGHINI
LAN|LANE FLATBED TRAILER
LANC|LANCHESTER
LARV|LARVIN
LASA|LASALLE (TRAILERS)
LASE|LASER
LBT|LBT INC (DIV.FRUEHAUF COR
LEAF|LEA-FRANCIS
LETO|LETOURMEAU, R G
LEWI|LEWIS-SHEPARD
LEXS|LEXUS
LFZA|LAFORZA
LINC|LINCOLN
LIND|LINDE
LIOL|LIONAL ENTERPRISES
LLOY|LLOYD
LNCI|LANCIA
LNDR|LNDR (MAKES RANGE ROVER)
LOCO|LOCOMOBILE
LODA|LODAL
LOLA|LOLA
LOND|LONDON MOTORS
LOOD|LOODCRAFT
LOTU|LOTUS
LSKP|LORI ENGINEERING
LUFK|LUFKIN TRAILERS
MACK|MACK
MAHA|MAMON HARRINGTON
MALR|MALLARD
MARC|MARCOS
MARM|MARMON
MASE|MASERATI
MASS|MASSEY-FERGUSEN
MATA|MATRA
MAV|MAVERICK
MAXI|MAXIM
MAXL|MAXWELL
MAZD|MAZDA
MBM|M.B.M.
MCIN|MCI
MDNA|MODENA
MEAN|MEAN
MERC|MERCURY
MERH|MERH COACH CORP.
MERK|MERKUR
MERZ|MERCEDES BENZ
MESS|MESSERSCHMITT
METE|METEOR
METR|METROPOLITAN
MG|MG
MICC|MICRO CONCEPT CARS
MIDA|MID-ATLANTIC HOMES
MIDS|MIDAS INTERNATIONAL
MIFU|MIFU (FUSO TRUCK OF AMER)
MIKA|MIKASA
MIKR|MIKRUS
MILL|MILLER TRAILERS INC.
MIST|MISTRAL
MITS|MITSUBISHI
MKMH|MK 5-1400 MOTOR HOME
MNNI|MINI
MNTA|MANTA
MODE|MODEL A/T REPRO CORP
MOGU|MOTO GUZZI
MONA|MONARCH
MONC|MONC -DAYTONA MOBILE HOME
MONG|MONTAGNAIS
MONN|MONON TRAILER DIV.
MORE|MORETTI
MORG|MORGAN
MORR|MORRIS
MOSK|MOSTOVITCH
MOWA|MONTGOMERY WARD
MRCU|MERCURY (SNOWMOBILE)
MSFI|MASSEY-FERGUSON
MTD|MTD PRODUCTS, INC.
MTPI|COLUMBIA (SNOWMOBILE)
MUNT|MUNTZ
MURE|MURENA
MVAU|MV AGUSTA
MZMA|MZMA
NAHE|NASH-HEALY
NAMO|NAMCO INDUSTRIES
NARD|NARDI-DANESE
NASH|NASH
NDMC|NISSAN DIESEL MOTOR CO.
NECK|NECKAR
NISS|NISSAN
NORH|NORTHWEST ENGINEERING
NORS|NORSE TRAILER
NORT|NORTON
NRTS|NORTHWAY
NSU|NSU
NSUF|NSU-FIAT
OAKL|OAKLAND
OCCH|ORANGE COUNTY CHOPPERS
OCKE|OCKELBO INDUSTRY AB
ODGL|ONTARIO DRIVE & GEAR
OGLE|OGLE
OHTA|OHTA
OLDS|OLDSMOBILE
OLIV|OLIVER
OLSO|OLSON
OMEG|OMEGA (ITALIAN)
OPEL|OPEL
OPER|OPEN ROADSTERS OF TEXAS
ORIG|ORIGINAL EQUIPMENT
OSCA|OSCA
OSHK|OSHKOSH MOTOR TRUCK
OSI|OSI
OSTD|OSHKOSH TRAILER DIVISION
OTH|OTHER
OTOS|OTOSAN
OTPE|OUTDOOR POWER EQUIPMENT
OUTM|OUTBOARD MARINE
OVER|OVERLAND
PACK|PACKARD
PALL|PALLISER (RACING CAR)
PAMR|PACE AMERICAN, INC.
PANE|PANTHER WESTWINDS
PANH|PANHARD
PANZ|PANOZ
PASS|PASSPORT
PAUG|PAUGHCO, INC.
PEAC|PEACE
PEEL|PEEL
PEER|PEERLESS
PEGA|PEGASO
PERC|PERCH
PETM|PETTIBONE
PEUG|PEUGEOT
PHOE|PHOENIX
PINE|PINES TRAILER
PINI|PINIFARINA
PLAY|PLAYBOY
PLRN|POLORON
PLYC|PLAYCAT INDUSTRIES
PLYM|PLYMOUTH
POIR|POIRIER
POLB|POLAR BEAR
POLS|POLARIS
PONI|PONTIAC-CANADIAN
PONT|PONTIAC
PORS|PORSCHE
PRAI|PRAIRIE SCHOONER
PRCA|PIERCE ARROW
PRMO|PRINCE MOTORS
PROG|PROGRESS
PTRB|PETERBILT-MOTORS
PTV|PTV
PUCH|PUCH
QINJ|QIANJIANG
RAID|RAIDER
RAMB|RAMBLER
RAMS|RAMSES
RAVE|RAVENS-METAL PRODUCTS, IN
RCMH|RC MOTOR HOME
RDER|RAIDER (MOTORCYCLE)
REDI|REDI-GO TRAVELER
RELA|RELIANT
RENA|RENAULT
REO|REO
REXM|REX MOBILE HOMES
RILE|RILEY
RIND|RICH INDUSTRIES
RIVS|RIVERSIDE
ROAM|ROAMINGHOME
ROAR|ROADMASTER RAIL,INC.
ROCH|ROCHDALE
ROK|ROCKNE
ROKW|ROCKWOOD
ROL|ROLLS-ROYCE
ROLF|ROLL-O-FLEX, LTD.
ROOT|ROOTES
ROV|ROVER
RPII|RUPP INDUSTRIES
RYCS|RYCSA
SAA|SAAB
SABE|SABRE
SABR|SABRA
SANG|SANGYONG CM600S
SCAN|SCANIA
SCIO|SCION
SCRP|SCORPION
SEAF|SEAGRAVE FIRE APPARTUS
SEAR|SEARS, ROEBUCK & CO
SEAT|SEAT
SERA|SERA
SHAS|SHASTA MOTOR HOME
SHEB|SHELBY AMERICAN
SIAT|SIATA
SILA|SILA AUTORETTA
SILV|SILVER STREAK
SIM|SIMCA
SIN|SINGER
SKIR|SKIROULE
SKMD|SKYLINE MOTORIZED
SKOD|SKODA
SMRT|SMART VEHICLES
SNOJ|SABRE JET
SNOW|SNOWMOBILE (UNLISTED MNF)
SOLE|SOLECTRIA
SOVA|SOVAM
SOWI|SOUTHWIND MOTOR HOME
SPAA|SPACE MOTOR HOME
SPEC|SPECIAL-GO/GULF-CART,DUNE
SPNR|DAIMLERCHRYSLER SPRINTER
SPPI|SPEEDWAY PRODUCTS
SPTN|SPARTAN
SRCO|SEARS
STAN|STANDARD
STAO|STARCRAFT
STAR|STAR
STCO|STARCRAFT (SNOWMOBILE)
STER|STERLING INDUSTRIAL
STEW|STEWART ENGINEERING & EQU
STEY|STEYR-PUCH
STLG|STERLING
STOU|STOUGHTON TRAILERS, INC.
STRA|STRALE
STRG|FREIGHTLINER, STERLING DI
STRI|STRICK TRAILERS
STRM|STREAMLINE MOTOR HOME
STRN|SATURN
STU|STUDEBAKER
STUZ|STUTZ
SUBA|SUBARU
SUNB|SUNBEAM
SUPT|SUPER TWO
SUTP|STUPHEN
SUZI|SUZUKI
SUZU|SUZULIGHT SU
SWGR|SWINGER SNOWMOBILES
SYRE|SYRENA
TAMA|TAMA
TATR|TATRA
TAUN|TAUNUS (GERMAN FORD)
TCHA|TCHAIKA
THAM|THAMES
THMS|THOMAS BUILT BUS COMPANY
TIMP|TIMPTE, INC.
TITA|TITAN TRAILER
TITN|TITAN CUSTOM MOTORCYCLE
TJAA|TJAARDA
TOLO|TOUR-A-LODGE
TORN|TORNADO (BRITISH)
TORO|TORO
TOYP|TOYOPET
TOYT|TOYOTA
TRAB|TRABANT
TRAN|TRANSTAR
TRAO|TRANSCRAFT CORP (TRAILER)
TRAV|TRAVOY MOTOR HOME
TRIM|TRAILMOBILE
TRIU|TRIUMPH
TRLK|TRAIL KING INDUSTRIES
TRMI|TRAVELER MFG
TROJ|TROJAN
TRPE|TERRAPLANE
TRUM|TRIUMPH (MOTORCYCLE)
TRVC|TRAVCO CORP
TRVL|TRAVEL HOME
TRVM|TRAVELINER MOTOR HOME
TSCC|TUCKER SNO-CAT(SNOWMOBILE
TTII|T & T INDUSTRIES
TUCK|TUCKER
TURN|TURNER
TVR|TVR
TZ|TZ
UAZ|UAZ
UNIC|UNICAR
UNIP|UNIPOWER
UNKN|UNKNOWN
USEL|U.S. ELECTRICAR
USSM|U.S. SUZUKI MOTOR CORP.,
UTIL|UTILITY TRAILER MFG. CO.
UTIM|UTILIMASTER
VACR|VECTOR AEROMOTIVE
VAL|VAL
VALK|VALKRIE
VANG|VANGUARD
VANT|VANETTE
VAUX|VAUXHALL
VEAM|VEHICULOS AUTOMORES MEXAC
VERI|VERITAS
VESP|VESPA
VKNG|VIKING SNOWMOBILES, INC.
VNDN|VANDEN PLAS
VOGA|VOLGA
VOLK|VOLKSWAGEN
VOLV|VOLVO
WAGN|WAGNER
WALA|WARD LAFRANCE
